id;name;type;street;zip;town;country;phone;mobile;email;website;public;trust_level;categories
64b653c8f5fc38000e51c98a;Wissner-Bosserhoff GmbH;company;Hauptstraße 4-6;58739;Wickede (Ruhr);DE;+49(0)2377/784-0;;info@wi-bo.de;https://www.wi-bo.com/de;Ja;community;manufacturer
64b653b8f5fc38000e51c773;SYNTHES GmbH;company;Eimattstrasse 3;4436;Oberdorf;CH;+41 61 965 61 11;;EUDAMED_Enquiries@its.jnj.com;http://emea.depuysynthes.com/;Ja;community;manufacturer
64b653b5f5fc38000e51c6f8;Rehder / Partner GmbH;company;;;;DE;;;;;Ja;community;manufacturer
64b653c7f5fc38000e51c95e;Waldemar Link GmbH & Co. KG;company;;22339;Hamburg;DE;+49 40 53995 0;;info@linkhh.de;;Ja;community;manufacturer
64b653a5f5fc38000e51c4b6;MAQUET GmbH & Co.KG Inland;company;Kehler Strasse 31;76437;Rastatt;DE;+49 7222 932 0;;info.vertrieb@getinge.com;www.getinge.com;Ja;community;manufacturer
5d3ae84aa159c577fd9b72c6;Stiegelmeyer GmbH & Co. KG;company;Ackerstraße 42;32051;Herford;DE;+49 (0) 5221 185 - 0;;info@stiegelmeyer.com;www.stiegelmeyer.com;Ja;community;manufacturer
64b6cd7016691d0024550968;Stryker Howmedica GmbH;company;Professor-Küntscher-Straße 1;24232;Kreis Plön;DE;+49 4348 7020;;;https://www.stryker.com/;Ja;community;manufacturer
64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;company;Memminger Straße 120;88400;Biberach an der Riß;DE;+49 7351 41-0;;info.lho@liebherr.com;https://www.liebherr.com/de-de/firmengruppe/startseite-3705202;Ja;community;manufacturer
64b6d01016691d0024550d71;Stryker Medical;company;East Centre Avenue 3800;49002;E Centre Ave Portage MI USA;US;+1 269-329-2100;;;https://www.stryker.com/;Ja;community;manufacturer
68e90932aa7e4768740f0fc2;GETINGE Vertrieb und Service GmbH;company;;;;DE;;;;;Ja;community;manufacturer
64b6cd7716691d0024550975;D.O.R.C. Dutch Ophthalmic Research Center (International) B.V.;company;Scheijdelveweg 2;3214 VN;Zuidland;NL;+31 181 458080;;dl.med-ra-dorc.nl@zeiss.com;www.dorcglobal.com;Ja;community;manufacturer
5d3ae85ca159c577fd9b7375;GE Healthcare Ultraschall Deutschland GmbH;company;Beethovenstraße 239;42655;Kreisfreie Stadt Solingen;DE;+49 211 73744400;;;http://www.gehealthcare.com/;Ja;community;manufacturer
5d3ae809a159c577ac4b826e;KARL STORZ GmbH & Co. KG;company;Dr.-Karl-Storz-Straße 34;78532;Tuttlingen;DE;+49 7461 7080;;info@karlstorz.com;https://www.karlstorz.com/;Ja;community;manufacturer
67a478038cdddcff0fbc1c23;KARL STORZ SE & Co. KG;company;Dr.-Karl-Storz-Straße 34;78532;Tuttlingen;DE;+49 7461 708 0;;info@karlstorz.com;www.karlstorz.com;Ja;community;manufacturer
