id;title;external_id;device_type_id;device_type_title;emtec_code;training_mandatory;software_version;manufacturer_id;manufacturer;end_of_service;end_of_life;ce_marking;ce_notified_body;responsible_5_mpg;according_to_annex;risk_class;active_device;udi_di
5f7b0447edba93118be9f788;04-0275-003;;607594180e6791017cdbbee6;Bett (elektrisch);;Ja;;64b653c8f5fc38000e51c98a;Wissner-Bosserhoff GmbH;;;Ja;;Wissner-Bosserhoff GmbH;;I;Ja;
5f7b0449edba93118be9f7b0;05.001.202;;5f7affb1edba93118be9d117;Chirurgisches Bohrgerät (Akku/elektrisch);;Ja;;64b653b8f5fc38000e51c773;SYNTHES GmbH;;;Ja;0123;SYNTHES GmbH;;I;Ja;
5f7b044cedba93118be9f7d8;05.001.205 - AO/ASIF-Schnellkupplung;;5f7affb2edba93118be9d118;Chirurgisches Handstück/Aufsatz/Zubehör;;Ja;;64b653b8f5fc38000e51c773;SYNTHES GmbH;;;Ja;0123;SYNTHES GmbH;1;II;Ja;" 07611819977853"
5f7b044bedba93118be9f7cc;05.001.212 - Schnellkupplung;;5f7affb2edba93118be9d118;Chirurgisches Handstück/Aufsatz/Zubehör;;Ja;;64b653b8f5fc38000e51c773;SYNTHES GmbH;;;Ja;0123;SYNTHES GmbH;1;II;Ja;" 07611819977907 "
5f7b044bedba93118be9f7d2;05.001.250;;5f7affb2edba93118be9d118;Chirurgisches Handstück/Aufsatz/Zubehör;;Ja;;64b653b8f5fc38000e51c773;SYNTHES GmbH;;;Ja;0123;SYNTHES GmbH;;I;Ja;07611819978409
5f7b044dedba93118be9f7f7;05.001.253;;5f7affb2edba93118be9d118;Chirurgisches Handstück/Aufsatz/Zubehör;;Ja;;64b653b8f5fc38000e51c773;SYNTHES GmbH;;;Ja;;SYNTHES GmbH;1;II;Ja;07611819979734
5f7b0450edba93118be9f829;077559A;;5f7affb8edba93118be9d129;Trenntransformator;;Ja;;64b653b5f5fc38000e51c6f8;Rehder / Partner GmbH;;;Ja;;Rehder / Partner GmbH;;I;Ja;
5f7b045aedba93118be9f8e6;10-1040/1;;5f7affc1edba93118be9d13f;Blutleeregerät (mechanisch);;Ja;;64b653c7f5fc38000e51c95e;Waldemar Link GmbH & Co. KG;;;Ja;;Waldemar Link GmbH & Co. KG;;I;Nein;
5f7b0458edba93118be9f8c8;10-1044/1;;5f7affc1edba93118be9d13f;Blutleeregerät (mechanisch);;Ja;;64b653c7f5fc38000e51c95e;Waldemar Link GmbH & Co. KG;;;Ja;;Waldemar Link GmbH & Co. KG;;I;Nein;
5f7b0459edba93118be9f8db;10-1044/5;;5f7affc1edba93118be9d13f;Blutleeregerät (mechanisch);;Ja;;64b653c7f5fc38000e51c95e;Waldemar Link GmbH & Co. KG;;;Ja;;Waldemar Link GmbH & Co. KG;;I;Nein;
5f7b045bedba93118be9f8fb;10-1044/6;;5f7affc1edba93118be9d13f;Blutleeregerät (mechanisch);;Ja;;64b653c7f5fc38000e51c95e;Waldemar Link GmbH & Co. KG;;;Ja;;Waldemar Link GmbH & Co. KG;;I;Nein;
5f7b0456edba93118be9f89e;1009.31A0;;5f7affbfedba93118be9d13b;Videokamerasystem;;Ja;;64b653a5f5fc38000e51c4b6;MAQUET GmbH & Co.KG Inland;;;Ja;;MAQUET GmbH & Co.KG Inland;;I;Ja;
5f7b045aedba93118be9f8ef;1021.23;;5f7affc2edba93118be9d143;Operationstisch, Tischplatte;;Ja;;64b653a5f5fc38000e51c4b6;MAQUET GmbH & Co.KG Inland;;;Ja;;MAQUET GmbH & Co.KG Inland;;I;Ja;04046768003347
5f7b045fedba93118be9f946;105192;;5f7affc8edba93118be9d14c;Bett (mechanisch);;Ja;;5d3ae84aa159c577fd9b72c6;Stiegelmeyer GmbH & Co. KG;;;Ja;;Stiegelmeyer GmbH & Co. KG;;I;Nein;
5f7b0467edba93118be9f9d5;1105 Stretcher Prime;;5f7affbdedba93118be9d136;Liege, Transportliege;;Ja;;64b6cd7016691d0024550968;Stryker Howmedica GmbH;;;Ja;;Stryker GmbH & Co. KG;;I;Ja;07613327278149
5f7b046bedba93118be9fa26;111293;;5f7affd1edba93118be9d163;Kühlschrank, Labor;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b046bedba93118be9fa22;1115;;5f7affbdedba93118be9d136;Liege, Transportliege;;Ja;;64b6d01016691d0024550d71;Stryker Medical;;;Ja;;Stryker GmbH & Co. KG;;I;Ja;07613327278149
5f7b046fedba93118be9fa61;1120.14;;5f7affc2edba93118be9d143;Operationstisch, Tischplatte;;Ja;;64b653a5f5fc38000e51c4b6;MAQUET GmbH & Co.KG Inland;;;Ja;;MAQUET GmbH & Co.KG Inland;;I;Ja;04046768003347
5f7b046dedba93118be9fa40;1120.21B;;5f7affc2edba93118be9d143;Operationstisch, Tischplatte;;Ja;;64b653a5f5fc38000e51c4b6;MAQUET GmbH & Co.KG Inland;;;Ja;;MAQUET GmbH & Co.KG Inland;;I;Ja;
5f7b047dedba93118be9fb53;1146.62 B0;;5f7affd2edba93118be9d166;Operationstisch, Lafette;;Ja;;64b653a5f5fc38000e51c4b6;MAQUET GmbH & Co.KG Inland;;;Ja;;MAQUET GmbH & Co.KG Inland;;I;Ja;04046768003361
5f7b047dedba93118be9fb52;1150.02 A0;;5f7affd2edba93118be9d165;OP - Tischsäule;;Ja;;64b653a5f5fc38000e51c4b6;MAQUET GmbH & Co.KG Inland;;;Ja;;MAQUET GmbH & Co.KG Inland;;I;Ja;04046768003248
5f7b0482edba93118be9fba4;1160.61 A0;;5f7affd2edba93118be9d166;Operationstisch, Lafette;;Ja;;64b653a5f5fc38000e51c4b6;MAQUET GmbH & Co.KG Inland;;;Ja;;MAQUET GmbH & Co.KG Inland;;I;Ja;04046768003361
68e90932aa7e4768740f0fc1;1180.61 A0;;5f7affd2edba93118be9d166;Operationstisch, Lafette;;Ja;;68e90932aa7e4768740f0fc2;GETINGE Vertrieb und Service GmbH;;;Ja;;Getinge Deutschland GmbH;;I;Ja;
5f7b0486edba93118be9fbeb;1265 UST UltraSpeed Transformer;;5f7affd9edba93118be9d177;Behandlungseinheit, Augen;;Ja;;64b6cd7716691d0024550975;D.O.R.C. Dutch Ophthalmic Research Center (International) B.V.;;;Ja;0344;D.O.R.C. Deutschland GmbH;1;II;Ja;
5f7b0486edba93118be9fbf7;1266 LEDStar;;5f7affa7edba93118be9d0fe;Kaltlichtgerät;;Ja;;64b6cd7716691d0024550975;D.O.R.C. Dutch Ophthalmic Research Center (International) B.V.;;;Ja;;D.O.R.C. Deutschland GmbH;;I;Ja;
5f7b0487edba93118be9fc08;12L-RS;;5f7affb5edba93118be9d120;Ultraschallsonde;;Ja;;5d3ae85ca159c577fd9b7375;GE Healthcare Ultraschall Deutschland GmbH;;;Ja;0459;GE Healthcare Ultraschall Deutschland GmbH;;I;Ja;00840682106870
5f7b048eedba93118be9fc78;141397;;5f7affdfedba93118be9d185;Bett, Zubehör;;Ja;;5d3ae84aa159c577fd9b72c6;Stiegelmeyer GmbH & Co. KG;;;Ja;;Stiegelmeyer GmbH & Co. KG;;I;Ja;
