id;external_id;inventory_number;serial_number;title;device_type_title;manufacturer;responsible_manufacturer;facility_name;location;department;construction_year;commissioning_at;service_partner;comments_field;operation_status;last_maintenance;next_maintenance;medical_device;ce_marking;ce_notified_body;according_to_annex;risk_level;purchase_price;depreciation_in_years;retirement_date
67dd75466a246df2210b6a57;;010159;010159;05.001.201 - TRS Modular Drive;Chirurgisches Bohrgerät (Akku/elektrisch);SYNTHES GmbH;SYNTHES GmbH;Klinikum Crailsheim;Zentral- OP;Zentral- OP;2012;;Johnson & Johnson Medical GmbH, Geschäftsbereich DePuy Synthes;;retired;;;Yes;Yes;0123;;I;;;2023-09-28
67dd75636a246df2210b72a4;;31406;31406;05.001.201 - TRS Modular Drive;Chirurgisches Bohrgerät (Akku/elektrisch);SYNTHES GmbH;SYNTHES GmbH;Klinikum Crailsheim;Zentral- OP;Zentral- OP;2023;2023-10-30;Johnson & Johnson Medical GmbH, Geschäftsbereich DePuy Synthes;;active;;;Yes;Yes;0123;;I;;;
67dd754b6a246df2210b6bb0;;0776;3016;Universal Battery Charger II (05.001.204);Netzteil/Ladegerät;SYNTHES GmbH;SYNTHES GmbH;Klinikum Crailsheim;Zentral- OP;Zentral- OP;2011;2011-04-29;;;retired;;;Yes;Yes;;;I;;;2021-04-01
67dd75556a246df2210b6ee8;;1762;00552;Universal Battery Charger II (05.001.204);Netzteil/Ladegerät;SYNTHES GmbH;SYNTHES GmbH;Klinikum Crailsheim;Zentral- OP;Zentral- OP;2016;2017-03-21;;;active;;;Yes;Yes;;;I;;;
67dd75636a246df2210b72a6;;3664;3664;05.001.240 - TRS Recon Sagittal Saw;Chirurgisches Bohrgerät (Akku/elektrisch);SYNTHES GmbH;SYNTHES GmbH;Klinikum Crailsheim;Zentral- OP;Zentral- OP;2011;2011-04-29;;;active;;;Yes;Yes;0123;;I;;;
67dd75636a246df2210b72a7;;3665;3665;05.001.240 - TRS Recon Sagittal Saw;Chirurgisches Bohrgerät (Akku/elektrisch);SYNTHES GmbH;SYNTHES GmbH;Klinikum Crailsheim;Zentral- OP;Zentral- OP;2011;2011-04-29;;;active;;;Yes;Yes;0123;;I;;;
67dd75636a246df2210b72a8;;3805;3805;05.001.240 - TRS Recon Sagittal Saw;Chirurgisches Bohrgerät (Akku/elektrisch);SYNTHES GmbH;SYNTHES GmbH;Klinikum Crailsheim;Zentral- OP;Zentral- OP;2011;2011-04-29;;;retired;;;Yes;Yes;0123;;I;;;2022-10-05
67dd75636a246df2210b72aa;;3666;3666;05.001.240 - TRS Recon Sagittal Saw;Chirurgisches Bohrgerät (Akku/elektrisch);SYNTHES GmbH;SYNTHES GmbH;Klinikum Crailsheim;Zentral- OP;Zentral- OP;2011;2011-04-29;;;active;;;Yes;Yes;0123;;I;;;
67dd755e6a246df2210b713a;;2375;001;10 30 595 Stufenflowmeter Druckluft;Flowmeter;MEDGAS - TECHNIK GmbH;MEDGAS - TECHNIK GmbH;Klinikum Crailsheim;Intensivstation;Intensivstation;2021;2021-04-29;;;active;;;Yes;Yes;;;I;;;
67dd755e6a246df2210b713b;;2376;002;10 30 595 Stufenflowmeter Druckluft;Flowmeter;MEDGAS - TECHNIK GmbH;MEDGAS - TECHNIK GmbH;Klinikum Crailsheim;Intensivstation;Intensivstation;2021;2021-04-29;Medgas-Technik GmbH;;active;;;Yes;Yes;;;I;;;
